Unnamed: 0,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_default_on_file_Y,Approval_Status
21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.173611111,N,3,0,Approved
26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,0.326842105,Y,3,1,Approved
21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.208333333,N,4,0,Approved
22,48000,RENT,1,EDUCATION,E,30000,18.39,1,0.625,N,2,0,Approved
24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,1,0.46875,Y,3,1,Approved
25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,1,Approved
23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,,1,0.41958042,N,4,0,Approved
26,62050,RENT,6,MEDICAL,E,30000,17.99,1,0.483481064,N,2,0,Approved
24,12000,OWN,4,VENTURE,B,2500,12.69,1,0.208333333,N,3,0,Approved
26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.371793283,N,3,0,Approved
22,66300,RENT,4,MEDICAL,B,30000,12.69,1,0.452488688,N,3,0,Approved
26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,1,0.336972638,N,3,0,Approved
24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,,1,0.384615385,Y,4,1,Approved
23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,1,0.384615385,Y,3,1,Approved
23,92004,RENT,6,PERSONAL,C,30000,15.23,1,0.326072779,Y,3,1,Approved
23,97000,RENT,7,VENTURE,B,30000,10.65,1,0.309278351,N,2,0,Approved
26,263000,MORTGAGE,0,EDUCATION,B,10000,,1,0.038022814,N,4,0,Approved
25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.112688754,N,2,0,Approved
22,70000,RENT,6,EDUCATION,D,29100,15.99,1,0.415714286,N,3,0,Approved
25,12000,OWN,0,MEDICAL,C,3000,,1,0.25,N,3,0,Approved
22,56950,RENT,6,MEDICAL,A,28000,,1,0.49165935,N,2,0,Approved
21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3,1,Approved
23,65000,RENT,2,EDUCATION,A,28000,7.9,1,0.430769231,N,2,0,Approved
26,85000,RENT,2,VENTURE,A,28000,7.49,1,0.329411765,N,3,0,Approved
26,12000,OWN,2,EDUCATION,A,6100,7.51,1,0.508333333,N,3,0,Approved
22,88000,RENT,6,VENTURE,B,28000,9.91,1,0.318181818,N,3,0,Approved
21,12000,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Y,4,1,Approved
22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,7.14,1,0.395833333,N,2,0,Approved
24,83004,RENT,0,VENTURE,D,28000,15.99,1,0.337333141,Y,4,1,Approved
26,12000,OWN,0,DEBTCONSOLIDATION,A,2700,,1,0.225,N,4,0,Approved
24,69000,RENT,2,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,0,Approved
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.270833333,Y,3,1,Approved
22,70000,RENT,4,EDUCATION,C,27500,13.06,1,0.392857143,Y,3,1,Approved
26,73200,RENT,5,VENTURE,D,27050,15.62,1,0.369535519,Y,2,1,Approved
24,83000,RENT,5,PERSONAL,C,27000,13.49,1,0.325301205,Y,2,1,Approved
24,73399,RENT,0,VENTURE,D,27000,,1,0.367852423,N,3,0,Approved
23,62500,RENT,7,MEDICAL,B,26000,11.71,1,0.416,N,2,0,Approved
22,60000,RENT,0,VENTURE,B,25475,10.99,1,0.424583333,N,3,0,Approved
25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,1,0.053845179,Y,3,1,Approved
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.158730159,N,4,0,Approved
21,42500,RENT,3,EDUCATION,C,25000,12.73,1,0.588235294,Y,3,1,Approved
24,41000,RENT,2,HOMEIMPROVEMENT,D,25000,,1,0.609756098,N,3,0,Approved
25,12816,OWN,0,DEBTCONSOLIDATION,C,3000,12.87,1,0.234082397,Y,4,1,Approved
24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,9.91,1,0.281635802,N,3,0,Approved
26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.164319249,N,2,0,Approved
24,12960,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,11.83,1,0.347222222,N,4,0,Approved
23,12996,OWN,0,DEBTCONSOLIDATION,C,2400,13.49,1,0.184672207,Y,2,1,Approved
22,42000,RENT,6,MEDICAL,D,25000,14.59,1,0.595238095,Y,2,1,Approved
26,48000,RENT,2,EDUCATION,B,25000,9.64,1,0.520833333,N,4,0,Approved
25,12996,OWN,1,MEDICAL,D,3600,14.59,1,0.27700831,N,3,0,Approved
22,12996,OWN,1,EDUCATION,B,4750,,1,0.365497076,N,3,0,Approved
25,42360,RENT,1,EDUCATION,E,25000,16.35,1,0.590179415,Y,3,1,Approved
21,49000,RENT,4,EDUCATION,B,25000,10.99,1,0.510204082,N,2,0,Approved
22,49464,RENT,5,PERSONAL,B,25000,11.83,1,0.505418082,N,3,0,Approved
23,50000,RENT,1,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0,Approved
25,50000,RENT,4,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0,Approved
24,44000,RENT,2,DEBTCONSOLIDATION,D,25000,15.33,1,0.568181818,N,2,0,Approved
23,50000,RENT,1,VENTURE,B,25000,11.83,1,0.5,N,4,0,Approved
22,50004,RENT,0,VENTURE,B,25000,10.36,1,0.499960003,N,2,0,Approved
22,50004,RENT,3,VENTURE,C,25000,12.23,1,0.499960003,N,3,0,Approved
22,52000,RENT,2,EDUCATION,B,25000,11.11,1,0.480769231,N,4,0,Approved
23,13200,OWN,3,DEBTCONSOLIDATION,A,4950,7.9,1,0.375,N,4,0,Approved
23,52000,RENT,1,PERSONAL,C,25000,13.22,1,0.480769231,N,2,0,Approved
26,46000,RENT,2,DEBTCONSOLIDATION,D,25000,11.86,1,0.543478261,N,4,0,Approved
22,53000,RENT,5,EDUCATION,C,25000,13.43,1,0.471698113,Y,4,1,Approved
26,47000,RENT,0,HOMEIMPROVEMENT,D,25000,15.28,1,0.531914894,Y,2,1,Approved
23,47000,RENT,1,VENTURE,E,25000,17.93,1,0.531914894,N,2,0,Approved
21,13200,OWN,0,VENTURE,C,4500,12.98,1,0.340909091,N,4,0,Approved
26,48000,RENT,5,VENTURE,F,25000,18.43,1,0.520833333,N,2,0,Approved
22,54996,RENT,6,EDUCATION,B,25000,,1,0.454578515,N,4,0,Approved
24,55000,RENT,4,HOMEIMPROVEMENT,D,25000,,1,0.454545455,Y,4,1,Approved
23,55000,RENT,4,EDUCATION,B,25000,11.36,1,0.454545455,N,3,0,Approved
23,55000,RENT,4,EDUCATION,D,25000,15.65,1,0.454545455,Y,3,1,Approved
24,55164,RENT,8,PERSONAL,C,25000,13.22,1,0.453194112,Y,4,1,Approved
26,56000,RENT,4,DEBTCONSOLIDATION,C,25000,12.87,1,0.446428571,N,2,0,Approved
23,190000,MORTGAGE,5,EDUCATION,F,22000,17.58,1,0.115789474,Y,3,1,Approved
23,13920,OWN,2,PERSONAL,E,7750,17.04,1,0.556752874,N,4,0,Approved
24,60000,RENT,0,PERSONAL,B,25000,10.99,1,0.416666667,N,3,0,Approved
24,60000,RENT,2,PERSONAL,B,25000,11.11,1,0.416666667,N,3,0,Approved
26,54000,RENT,7,DEBTCONSOLIDATION,D,25000,14.83,1,0.462962963,Y,2,1,Approved
23,14000,OWN,2,DEBTCONSOLIDATION,D,4000,,1,0.285714286,N,3,0,Approved
25,54000,RENT,3,HOMEIMPROVEMENT,E,25000,16.82,1,0.462962963,N,4,0,Approved
23,60000,RENT,3,PERSONAL,C,25000,12.73,1,0.416666667,N,3,0,Approved
23,60000,RENT,7,PERSONAL,B,25000,10.25,1,0.416666667,N,4,0,Approved
21,60000,RENT,6,EDUCATION,B,25000,10.99,1,0.416666667,N,4,0,Approved
25,61959,RENT,9,MEDICAL,C,25000,12.73,1,0.403492632,N,2,0,Approved
22,56400,RENT,2,HOMEIMPROVEMENT,D,25000,14.96,1,0.443262411,Y,3,1,Approved
24,66000,RENT,3,EDUCATION,B,25000,9.91,1,0.378787879,N,2,0,Approved
22,66000,RENT,6,EDUCATION,C,25000,13.06,1,0.378787879,Y,3,1,Approved
24,60000,RENT,2,DEBTCONSOLIDATION,E,25000,,1,0.416666667,Y,2,1,Approved
21,14400,OWN,0,HOMEIMPROVEMENT,B,3000,,1,0.208333333,N,4,0,Approved
26,66996,RENT,10,PERSONAL,D,25000,15.21,1,0.373156606,Y,2,1,Approved
23,67000,RENT,3,EDUCATION,A,25000,7.9,1,0.373134328,N,4,0,Approved
24,67000,RENT,2,VENTURE,B,25000,10.99,1,0.373134328,N,3,0,Approved
24,68000,RENT,5,PERSONAL,D,25000,14.09,1,0.367647059,Y,3,1,Approved
25,69000,RENT,9,PERSONAL,D,25000,17.49,1,0.362318841,N,2,0,Approved
26,188000,MORTGAGE,10,VENTURE,E,20000,17.74,1,0.106382979,N,2,0,Approved
25,69996,RENT,9,EDUCATION,D,25000,15.21,1,0.357163266,N,3,0,Approved
22,14400,OWN,2,MEDICAL,B,4000,10.99,1,0.277777778,N,3,0,Approved
24,70000,RENT,3,EDUCATION,B,25000,11.86,1,0.357142857,N,4,0,Approved
24,14400,OWN,5,PERSONAL,A,6000,7.49,1,0.416666667,N,3,0,Approved
24,56100,RENT,7,MEDICAL,D,25000,16.49,1,0.445632799,N,4,0,Approved
25,66000,RENT,9,VENTURE,D,25000,15.33,1,0.378787879,Y,2,1,Approved
26,66000,RENT,3,HOMEIMPROVEMENT,B,25000,11.58,1,0.378787879,N,4,0,Approved
25,14400,OWN,7,EDUCATION,A,5375,5.79,1,0.373263889,N,2,0,Approved
25,72612,RENT,9,MEDICAL,C,25000,13.11,1,0.344295709,N,2,0,Approved
23,74000,RENT,3,MEDICAL,B,25000,10.36,1,0.337837838,N,3,0,Approved
25,75000,RENT,9,DEBTCONSOLIDATION,B,25000,10.36,1,0.333333333,N,2,0,Approved
24,75000,RENT,4,EDUCATION,B,25000,10.25,1,0.333333333,N,4,0,Approved
22,71000,RENT,1,EDUCATION,D,25000,15.95,1,0.352112676,Y,4,1,Approved
23,78000,RENT,7,DEBTCONSOLIDATION,C,25000,,1,0.320512821,Y,2,1,Approved
23,78000,RENT,1,VENTURE,B,25000,10.62,1,0.320512821,N,3,0,Approved
23,78504,RENT,7,VENTURE,B,25000,10.74,1,0.318455111,N,3,0,Approved
24,62050,RENT,8,MEDICAL,D,25000,15.33,1,0.402900886,Y,2,1,Approved
23,79416,RENT,7,VENTURE,D,25000,15.21,1,0.314798026,Y,2,1,Approved
21,14400,OWN,4,VENTURE,C,6250,14.72,1,0.434027778,N,2,0,Approved
24,79631,RENT,8,PERSONAL,D,25000,15.7,1,0.313948086,Y,2,1,Approved
24,79632,RENT,0,EDUCATION,C,25000,13.35,1,0.313944143,N,4,0,Approved
24,80000,RENT,6,EDUCATION,A,25000,6.62,1,0.3125,N,2,0,Approved
26,80000,RENT,5,DEBTCONSOLIDATION,C,25000,13.61,1,0.3125,N,4,0,Approved
24,172000,MORTGAGE,6,DEBTCONSOLIDATION,C,20000,13.47,1,0.11627907,Y,4,1,Approved
23,74004,RENT,7,DEBTCONSOLIDATION,E,25000,16.35,1,0.337819577,N,4,0,Approved
26,74004,RENT,10,DEBTCONSOLIDATION,D,25000,,1,0.337819577,Y,4,1,Approved
25,81000,RENT,5,DEBTCONSOLIDATION,A,25000,7.29,1,0.308641975,N,3,0,Approved
23,81600,RENT,1,MEDICAL,B,25000,11.36,1,0.306372549,N,3,0,Approved
23,14400,OWN,2,HOMEIMPROVEMENT,E,4000,16.7,1,0.277777778,N,2,0,Approved
25,142800,MORTGAGE,9,MEDICAL,F,10000,18.25,1,0.070028011,N,4,0,Approved
23,14664,MORTGAGE,0,DEBTCONSOLIDATION,C,6000,,1,0.409165303,N,4,0,Approved
24,75000,RENT,0,VENTURE,E,25000,14.7,1,0.333333333,Y,3,1,Approved
23,76000,RENT,7,DEBTCONSOLIDATION,D,25000,16.02,1,0.328947368,N,4,0,Approved
23,66215,RENT,1,MEDICAL,D,25000,15.37,1,0.377557955,Y,2,1,Approved
21,15000,OWN,0,HOMEIMPROVEMENT,A,6200,7.9,1,0.413333333,N,2,0,Approved
23,15000,OWN,7,MEDICAL,B,4475,,1,0.298333333,N,4,0,Approved
23,78000,RENT,2,VENTURE,D,25000,16.32,1,0.320512821,Y,3,1,Approved
25,66300,RENT,3,MEDICAL,E,25000,17.93,1,0.377073906,Y,4,1,Approved
24,79000,RENT,9,DEBTCONSOLIDATION,D,25000,14.96,1,0.316455696,Y,4,1,Approved
23,70550,RENT,3,MEDICAL,F,25000,19.04,1,0.354358611,Y,4,1,Approved
25,83800,RENT,2,DEBTCONSOLIDATION,D,25000,15.95,1,0.298329356,Y,3,1,Approved
23,15000,OWN,4,DEBTCONSOLIDATION,C,4000,13.98,1,0.266666667,N,4,0,Approved
23,15000,OWN,4,VENTURE,B,4600,10.99,1,0.306666667,N,2,0,Approved
22,88000,RENT,6,DEBTCONSOLIDATION,D,25000,15.58,1,0.284090909,Y,2,1,Approved
25,74800,RENT,2,MEDICAL,B,25000,10.99,1,0.334224599,N,2,0,Approved
25,88000,RENT,0,VENTURE,D,25000,14.96,1,0.284090909,N,4,0,Approved
26,88000,RENT,2,VENTURE,D,25000,15.65,1,0.284090909,N,3,0,Approved
23,15000,MORTGAGE,0,PERSONAL,C,3600,13.47,1,0.24,N,4,0,Approved
24,92000,RENT,1,HOMEIMPROVEMENT,E,25000,16.77,1,0.27173913,Y,4,1,Approved
23,93000,RENT,0,DEBTCONSOLIDATION,D,25000,14.59,1,0.268817204,Y,2,1,Approved
25,162000,MORTGAGE,5,DEBTCONSOLIDATION,E,25000,16,1,0.154320988,Y,3,1,Approved
21,15000,OWN,0,HOMEIMPROVEMENT,C,3175,11.54,1,0.211666667,Y,3,1,Approved
25,96000,RENT,2,HOMEIMPROVEMENT,E,25000,15.68,1,0.260416667,Y,4,1,Approved
24,97908,RENT,8,HOMEIMPROVEMENT,D,25000,12.61,1,0.255341749,Y,2,1,Approved
23,15204,MORTGAGE,7,PERSONAL,A,2800,8.49,1,0.184162063,N,3,0,Approved
25,159600,RENT,0,PERSONAL,D,30000,17.27,1,0.187969925,Y,4,1,Approved
24,158004,RENT,0,HOMEIMPROVEMENT,D,25000,14.59,1,0.158223842,Y,2,1,Approved
24,83300,RENT,0,MEDICAL,D,25000,,1,0.300120048,N,2,0,Approved
22,15360,OWN,7,HOMEIMPROVEMENT,B,2500,12.53,1,0.162760417,N,3,0,Approved
25,134300,RENT,3,MEDICAL,D,5000,16.49,1,0.037230082,N,2,0,Approved
22,100580,RENT,6,DEBTCONSOLIDATION,D,25000,14.96,1,0.248558362,Y,2,1,Approved
24,91800,RENT,5,MEDICAL,D,25000,15.33,1,0.272331155,Y,2,1,Approved
26,108000,RENT,2,PERSONAL,D,25000,15.05,1,0.231481481,N,3,0,Approved
24,15600,OWN,5,HOMEIMPROVEMENT,A,3300,6.39,1,0.211538462,N,4,0,Approved
25,15600,OWN,0,VENTURE,F,3200,18.09,1,0.205128205,N,2,0,Approved
22,153000,MORTGAGE,5,DEBTCONSOLIDATION,D,24000,15.62,1,0.156862745,Y,2,1,Approved
23,16000,OWN,7,MEDICAL,A,6000,7.9,1,0.375,N,2,0,Approved
23,148000,RENT,1,DEBTCONSOLIDATION,E,25000,14.93,1,0.168918919,N,3,0,Approved
23,16000,MORTGAGE,1,MEDICAL,C,5600,12.84,1,0.35,N,4,0,Approved
24,16020,OWN,3,VENTURE,E,3625,17.14,1,0.22627965,Y,2,1,Approved
22,16094,MORTGAGE,2,VENTURE,A,5500,7.14,1,0.341742264,N,3,0,Approved
25,16400,OWN,1,PERSONAL,A,5000,8.94,1,0.304878049,N,4,0,Approved
23,16500,OWN,6,VENTURE,B,4375,9.63,1,0.265151515,N,4,0,Approved
25,49500,RENT,6,PERSONAL,C,24750,14.22,1,0.5,N,3,0,Approved
23,60000,RENT,4,DEBTCONSOLIDATION,B,24750,9.33,1,0.4125,N,3,0,Approved
25,125800,MORTGAGE,0,MEDICAL,D,10000,14.09,1,0.079491256,N,4,0,Approved
25,54000,RENT,2,PERSONAL,C,24250,13.98,1,0.449074074,N,4,0,Approved
23,62500,RENT,1,EDUCATION,B,24250,10.62,1,0.388,N,4,0,Approved
24,16800,MORTGAGE,,DEBTCONSOLIDATION,A,3900,,1,0.232142857,N,3,0,Approved
25,68400,RENT,9,PERSONAL,E,24250,17.56,1,0.354532164,N,4,0,Approved
26,56045,RENT,1,MEDICAL,D,24250,14.96,1,0.432688019,N,2,0,Approved
22,74000,RENT,7,DEBTCONSOLIDATION,D,24250,15.65,1,0.327702703,Y,2,1,Approved
24,65453,RENT,9,MEDICAL,D,24250,15.7,1,0.370494859,N,2,0,Approved
26,78000,RENT,0,HOMEIMPROVEMENT,E,24250,17.56,1,0.310897436,Y,3,1,Approved
22,16800,MORTGAGE,0,HOMEIMPROVEMENT,C,4750,13.85,1,0.282738095,Y,2,1,Approved
21,16800,MORTGAGE,0,VENTURE,B,6000,10.39,1,0.357142857,N,4,0,Approved
22,108000,RENT,1,HOMEIMPROVEMENT,D,24150,14.96,1,0.223611111,Y,3,1,Approved
22,43000,RENT,7,DEBTCONSOLIDATION,C,24000,13.85,1,0.558139535,Y,3,1,Approved
23,47004,RENT,1,VENTURE,B,24000,11.58,1,0.510594843,N,4,0,Approved
24,48000,RENT,4,VENTURE,D,24000,16.29,1,0.5,Y,2,1,Approved
26,48000,RENT,4,MEDICAL,A,24000,,1,0.5,N,3,0,Approved
21,44964,RENT,2,EDUCATION,D,24000,16.29,1,0.533760342,Y,2,1,Approved
25,52000,RENT,,PERSONAL,B,24000,10.74,1,0.461538462,N,2,0,Approved
24,47000,RENT,3,PERSONAL,F,24000,17.8,1,0.510638298,N,2,0,Approved
22,49000,RENT,2,MEDICAL,E,24000,17.56,1,0.489795918,N,4,0,Approved
26,60000,RENT,0,PERSONAL,A,24000,7.9,1,0.4,N,4,0,Approved
25,60000,RENT,3,PERSONAL,B,24000,10.99,1,0.4,N,4,0,Approved
22,60000,RENT,0,PERSONAL,A,24000,7.29,1,0.4,N,3,0,Approved
21,60000,RENT,5,MEDICAL,B,24000,10.75,1,0.4,N,2,0,Approved
26,62004,RENT,9,DEBTCONSOLIDATION,A,24000,7.9,1,0.387071802,N,3,0,Approved
22,62400,RENT,3,EDUCATION,D,24000,14.84,1,0.384615385,N,2,0,Approved
26,65000,RENT,10,DEBTCONSOLIDATION,A,24000,,1,0.369230769,N,2,0,Approved
22,17760,MORTGAGE,6,EDUCATION,C,4975,,1,0.280123874,Y,3,1,Approved
23,59000,RENT,5,DEBTCONSOLIDATION,E,24000,19.69,1,0.406779661,Y,2,1,Approved
23,66000,RENT,6,VENTURE,A,24000,,1,0.363636364,N,4,0,Approved
24,60000,RENT,0,VENTURE,D,24000,14.96,1,0.4,N,4,0,Approved
25,66143,RENT,9,EDUCATION,A,24000,6.99,1,0.362850188,N,3,0,Approved
22,62250,RENT,3,PERSONAL,E,24000,16.45,1,0.385542169,Y,4,1,Approved
24,70000,RENT,8,EDUCATION,B,24000,10.99,1,0.342857143,N,4,0,Approved
23,74000,RENT,7,DEBTCONSOLIDATION,B,24000,10.99,1,0.324324324,N,2,0,Approved
22,18000,OWN,3,PERSONAL,A,3000,7.9,1,0.166666667,N,4,0,Approved
22,75000,RENT,6,EDUCATION,B,24000,12.69,1,0.32,N,4,0,Approved
24,75000,RENT,9,MEDICAL,B,24000,10.37,1,0.32,N,3,0,Approved
24,75000,RENT,7,HOMEIMPROVEMENT,C,24000,,1,0.32,N,3,0,Approved
26,69000,RENT,0,DEBTCONSOLIDATION,F,24000,15.83,1,0.347826087,N,3,0,Approved
23,78000,RENT,4,PERSONAL,C,24000,13.92,1,0.307692308,N,3,0,Approved
22,18000,OWN,1,HOMEIMPROVEMENT,A,3500,7.49,1,0.194444444,N,4,0,Approved
23,18000,OWN,3,EDUCATION,A,4000,5.99,1,0.222222222,N,2,0,Approved
23,74700,RENT,6,PERSONAL,D,24000,12.92,1,0.321285141,N,2,0,Approved
22,83000,RENT,6,DEBTCONSOLIDATION,E,24000,19.69,1,0.289156627,N,3,0,Approved
21,18000,OWN,3,HOMEIMPROVEMENT,D,4900,14.54,1,0.272222222,Y,4,1,Approved
21,18000,OWN,,EDUCATION,B,5000,11.11,1,0.277777778,N,2,0,Approved
24,18000,OWN,0,HOMEIMPROVEMENT,A,6250,6.54,1,0.347222222,N,4,0,Approved
22,98000,RENT,7,DEBTCONSOLIDATION,F,24000,,1,0.244897959,Y,2,1,Approved
26,103872,RENT,6,DEBTCONSOLIDATION,G,24000,20.03,1,0.231053604,N,4,0,Approved
26,108000,RENT,9,EDUCATION,G,24000,20.16,1,0.222222222,N,3,0,Approved
23,18000,MORTGAGE,1,MEDICAL,D,2500,15.95,1,0.138888889,N,2,0,Approved
23,114750,RENT,2,MEDICAL,G,24000,20.03,1,0.209150327,Y,3,1,Approved
23,138000,RENT,7,DEBTCONSOLIDATION,D,24000,16,1,0.173913043,Y,2,1,Approved
24,18000,OWN,6,PERSONAL,A,13000,7.88,1,0.722222222,N,3,0,Approved
21,18000,OWN,0,VENTURE,B,6250,10.62,1,0.347222222,N,4,0,Approved
26,148000,RENT,1,EDUCATION,F,24000,18.3,1,0.162162162,N,2,0,Approved
24,43896,RENT,8,HOMEIMPROVEMENT,B,23975,,1,0.546177328,N,2,0,Approved
24,54996,RENT,2,PERSONAL,B,23600,11.89,1,0.429122118,N,3,0,Approved
24,18000,MORTGAGE,0,DEBTCONSOLIDATION,B,10000,12.18,1,0.555555556,N,2,0,Approved
23,75000,RENT,3,PERSONAL,E,23575,14.5,1,0.314333333,N,4,0,Approved
22,18000,OWN,2,MEDICAL,C,4000,,1,0.222222222,N,2,0,Approved
22,18000,OWN,1,MEDICAL,D,5400,15.31,1,0.3,Y,2,1,Approved
25,18000,MORTGAGE,1,MEDICAL,B,4000,,1,0.222222222,N,3,0,Approved
21,18000,OWN,5,VENTURE,B,3375,,1,0.1875,N,2,0,Approved
22,66960,RENT,1,VENTURE,A,23400,7.49,1,0.349462366,N,2,0,Approved
22,43385,RENT,7,PERSONAL,C,23000,,1,0.530137144,N,3,0,Approved
25,56544,RENT,3,EDUCATION,B,23000,,1,0.406762875,N,2,0,Approved
23,60000,RENT,2,VENTURE,B,23000,12.18,1,0.383333333,N,4,0,Approved
25,63208,RENT,9,EDUCATION,B,23000,9.91,1,0.36387799,N,3,0,Approved
24,65000,RENT,0,HOMEIMPROVEMENT,B,23000,11.99,1,0.353846154,N,4,0,Approved
23,68000,RENT,7,EDUCATION,B,23000,9.62,1,0.338235294,N,2,0,Approved
22,18000,OWN,1,DEBTCONSOLIDATION,B,3000,9.96,1,0.166666667,N,3,0,Approved
24,88000,RENT,1,VENTURE,D,23000,14.54,1,0.261363636,N,2,0,Approved
22,58600,RENT,5,MEDICAL,B,22750,11.36,1,0.388225256,N,4,0,Approved
23,70000,RENT,7,DEBTCONSOLIDATION,C,22500,14.27,1,0.321428571,N,2,0,Approved
24,18287,OWN,3,HOMEIMPROVEMENT,B,3000,11.99,1,0.164050965,N,3,0,Approved
26,69846,RENT,2,EDUCATION,F,22500,18.99,1,0.322137273,Y,2,1,Approved
24,73000,RENT,0,VENTURE,E,22400,16.7,1,0.306849315,Y,4,1,Approved
24,18500,MORTGAGE,8,PERSONAL,A,5000,9.32,1,0.27027027,N,3,0,Approved
23,35000,RENT,2,DEBTCONSOLIDATION,B,22250,12.69,1,0.635714286,N,3,0,Approved
25,43000,RENT,9,HOMEIMPROVEMENT,C,22000,13.11,1,0.511627907,N,2,0,Approved
25,52000,RENT,4,PERSONAL,B,22000,10.74,1,0.423076923,N,2,0,Approved
21,18701,MORTGAGE,0,PERSONAL,D,4200,14.11,1,0.22458692,Y,4,1,Approved
22,57000,RENT,6,EDUCATION,B,22000,9.63,1,0.385964912,N,3,0,Approved
25,58000,RENT,0,MEDICAL,C,22000,14.65,1,0.379310345,N,2,0,Approved
23,60000,RENT,6,DEBTCONSOLIDATION,B,22000,10.25,1,0.366666667,N,4,0,Approved
24,60000,RENT,3,VENTURE,C,22000,14.26,1,0.366666667,Y,2,1,Approved
25,18840,MORTGAGE,5,EDUCATION,B,3000,9.91,1,0.159235669,N,2,0,Approved
26,56000,RENT,7,MEDICAL,E,22000,17.19,1,0.392857143,N,3,0,Approved
22,70000,RENT,3,EDUCATION,B,22000,11.36,1,0.314285714,N,4,0,Approved
22,66000,RENT,1,EDUCATION,F,22000,,1,0.333333333,N,2,0,Approved
22,19000,OWN,6,MEDICAL,A,3625,8.49,1,0.190789474,N,3,0,Approved
21,19000,OWN,5,MEDICAL,A,6000,8.49,1,0.315789474,N,3,0,Approved
24,19000,OWN,3,MEDICAL,C,7400,13.85,1,0.389473684,N,2,0,Approved
25,19000,OWN,3,DEBTCONSOLIDATION,A,4000,7.4,1,0.210526316,N,3,0,Approved
25,77650,RENT,8,PERSONAL,B,22000,11.48,1,0.283322601,N,3,0,Approved
